B0J,44.65680844827587,-63.49228753448277,20,100,3600.0,17.0,5.0,-32.0,8036.0,0.0,Oil,SB32,Flush mount
B2R,44.76597471666665,-63.57920937222225,20,100,2100.0,10.0,4.0,40.0,6972.0,196.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B2S,0.0,0.0,20,100,3100.0,9.0,6.2,50.0,22817.0,285.0,"Electricity, 60 IG tank, 4500 W",SB64,Flush mount
B2T,44.85835483749998,-63.592543408333356,20,100,2000.0,7.75,5.25,-44.5,8206.0,179.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B2W,44.67885128585368,-63.51197672195121,20,100,2983.3333333333335,18.0,6.333333333333333,20.666666666666668,15376.666666666666,318.0,"Electricity, 40 IG tank, 3000 W",SB64,Tilted up
B2X,44.6981187246094,-63.54228358789062,20,100,3000.0,20.0,6.0,48.0,22295.1,172.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B2Y,44.669108670000014,-63.55385585999989,20,100,2450.0,66.0,7.8999999999999995,-9.333333333333334,6910.0,204.66666666666666,"Electricity, 40 IG tank, 3000 W",SB32,Flush mount
B2Z,44.69664355072465,-63.47785137681159,20,100,2550.0,32.666666666666664,2.0,5.0,20578.0,261.0,"Electricity, 40 IG tank, 3000 W",SB64,Wall mount
B3A,44.67874873705715,-63.57845050953672,20,100,1702.0,59.25,5.5,8.5,13669.0,209.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B3E,44.732914991452986,-63.348797085470075,20,100,2500.0,18.0,7.0,43.0,16320.0,0.0,"Electricity, 40 IG tank, 3000 W",SB32,Flush mount
B3H,44.63877667799113,-63.58896735302805,20,100,1962.5,67.66666666666667,7.125,14.25,13166.0,196.0,"Electricity, 40 IG tank, 3000 W",SB64,Tilted up
B3K,44.658428292811884,-63.60580799365736,20,100,1725.0,44.25,7.1875,-1.0,8206.5,201.5,"Electricity, 60 IG tank, 4500 W",SB64,Flush mount
B3L,44.64911226382976,-63.61356677588647,20,100,3100.0,18.0,6.0,22.0,21018.5,0.0,"Electricity, 40 IG tank, 3000 W",SB64,Wall mount
B3M,44.672418241192425,-63.65641719105679,20,100,1300.0,19.0,5.0,17.5,13871.5,142.0,"Electricity, 40 IG tank, 3000 W",SB32,Flush mount
B3N,44.645412857758615,-63.628647103448294,20,100,1900.0,39.0,6.8999999999999995,-22.333333333333332,7314.666666666667,181.33333333333334,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B3S,44.65624773619633,-63.66646825153376,20,100,2700.0,2.0,8.0,-5.0,19085.0,205.0,"Electricity, 60 IG tank, 4500 W",SB64,Flush mount
B3T,44.593683546125504,-63.7301504391144,20,100,2400.0,30.0,4.0,0.0,18872.0,0.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B3V,44.53200375735294,-63.594195272058805,20,100,1680.0,31.0,12.0,-25.0,21448.0,0.0,"Electricity, 40 IG tank, 3000 W",SB64,Wall mount
B4A,44.725700622526645,-63.668800945205504,20,100,3000.0,13.0,9.5,0.0,9751.5,182.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B4B,0.0,0.0,20,100,2950.0,20.25,7.125,-0.75,12818.25,206.0,"Electricity, 40 IG tank, 3000 W",SB64,Flush mount
B4C,44.76963871906355,-63.67506220401338,20,100,1500.0,43.0,12.0,30.0,12667.0,263.0,Oil,SB64,Tilted up
B4E,44.788026643749966,-63.70605053333334,20,100,1200.0,5.0,6.0,17.0,27456.0,109.0,"Electricity, 60 IG tank, 4500 W",SB32,Flush mount
B4G,44.83515886956523,-63.680919231884005,20,100,2000.0,39.0,4.0,-49.0,12000.0,180.0,"Electricity, 40 IG tank, 3000 W",SB32,Flush mount
