B0J1A0,45.100472,-61.735143
B0J1A1,44.744868,-63.281808
B0J1B0,44.651988,-63.982736
B0J1C0,44.497337,-64.109730
B0J1E0,44.436513,-64.448995
B0J1G0,44.676147,-63.873277
B0J1H0,44.053284,-64.683136
B0J1J0,44.549590,-64.237345
B0J1K0,44.563991,-64.304333
B0J1L0,44.620240,-63.493970
B0J1M0,45.109088,-61.687805
B0J1N0,44.601741,-63.670924
B0J1P0,44.773035,-63.059022
B0J1R0,44.669474,-63.915495
B0J1S0,44.570951,-63.565888
B0J1T0,44.623097,-64.067420
B0J1V0,44.274170,-64.560404
B0J1W0,44.772544,-62.995982
B0J1X0,44.491775,-63.545371
B0J1Y0,44.767505,-62.991748
B0J1Z0,44.634348,-63.696813
B0J1Z1,44.641158,-63.710700
B0J2A0,45.024199,-61.995060
B0J2A1,44.744868,-63.281808
B0J2B0,44.436101,-64.137455
B0J2C0,44.376808,-64.318100
B0J2E0,44.457133,-64.374513
B0J2G0,44.971560,-62.084365
B0J2H0,44.254969,-64.407168
B0J2J0,44.802410,-63.114000
B0J2K0,44.972422,-62.221175
B0J2L0,44.779776,-63.141003
B0J2M0,44.744184,-64.457244
B0J2N0,44.491956,-63.905915
B0J2P0,44.931399,-62.565797
B0J2R0,44.810302,-62.995129
B0J2S0,44.702373,-63.425431
B0J2T0,44.125665,-64.580478
B0J2T3,45.124564,-62.467192
B0J2V0,44.475382,-63.798088
B0J2W0,44.291194,-64.324751
B0J2X0,44.295328,-64.287906
B0J2Y0,44.478816,-63.598945
B0J2Z0,44.611977,-63.952200
B0J3A0,44.632254,-63.518423
B0J3A1,44.744868,-63.281808
B0J3B0,44.920610,-62.526951
B0J3C0,45.141039,-61.972492
B0J3E0,44.912506,-62.483251
B0J3G0,44.452570,-64.172742
B0J3H0,44.810613,-62.906519
B0J3J0,44.615977,-63.709288
B0J3K0,44.468279,-63.713993
B0J3L0,44.548414,-64.246736
B0J3M0,44.524254,-64.311941
B0J3P0,45.107068,-62.093149
B0J4J4,44.744868,-63.281808
B0J9Z0,44.744868,-63.281808
B1B3M1,46.107963,-59.950894
B2R0A1,44.741640,-63.544550
B2R0A2,44.748037,-63.563282
B2R0A3,44.748101,-63.564956
B2R0A4,44.779991,-63.533223
B2R0A5,44.748101,-63.564956
B2R0A6,44.748101,-63.564956
B2R0A7,44.742554,-63.541734
B2R0A8,44.759965,-63.592702
B2R1A1,44.740708,-63.543299
B2R1A2,44.739911,-63.545275
B2R1A3,44.739461,-63.547032
B2R1A4,44.739682,-63.547178
B2R1A5,44.739325,-63.546927
B2R1A6,44.738685,-63.551490
B2R1A7,44.739724,-63.549207
B2R1A8,44.739978,-63.547868
B2R1A9,44.723649,-63.527690
B2R1B1,44.731035,-63.520982
B2R1B2,44.773485,-63.578922
B2R1B3,44.769807,-63.576391
B2R1B4,44.769408,-63.576122
B2R1B5,44.762399,-63.573957
B2R1B6,44.773400,-63.578985
B2R1B7,44.768438,-63.575442
B2R1B8,44.773920,-63.580696
B2R1B9,44.772192,-63.582114
B2R1C1,44.773972,-63.580823
B2R1C2,44.773286,-63.576705
B2R1C3,44.770225,-63.574913
B2R1C4,44.773483,-63.577766
B2R1C5,44.773434,-63.577858
B2R1C6,44.765669,-63.570662
B2R1C7,44.768757,-63.575310
B2R1C8,44.784064,-63.605699
B2R1C9,44.747695,-63.561635
B2R1E1,44.746542,-63.563514
B2R1E2,44.782591,-63.597520
B2R1E3,44.783047,-63.597822
B2R1E4,44.778115,-63.585264
B2R1E5,44.777944,-63.585561
B2R1E6,44.781559,-63.616245
B2R1E7,44.785451,-63.602852
B2R1E8,44.784305,-63.600761
B2R1E9,44.776076,-63.605719
B2R1G1,44.793478,-63.601625
B2R1G2,44.808131,-63.601906
B2R1G3,44.774436,-63.604195
B2R1G4,44.775638,-63.598123
B2R1G5,44.781682,-63.599203
B2R1G6,44.779548,-63.610651
B2R1G7,44.781391,-63.602837
B2R1G8,44.776538,-63.585953
B2R1G9,44.776759,-63.585661
B2R1H1,44.783119,-63.601902
B2R1H2,44.779615,-63.588146
B2R1H3,44.769848,-63.576129
B2R1H4,44.770204,-63.574610
B2R1H5,44.769979,-63.574969
B2R1H6,44.785880,-63.603375
B2R1H7,44.773630,-63.576342
B2R1H8,44.759703,-63.573469
B2R1H9,44.760729,-63.575183
B2R1J1,44.783460,-63.603390
B2R1J2,44.776500,-63.579193
B2R1J3,44.777126,-63.580558
B2R1J4,44.719307,-63.511111
B2R1J5,44.719553,-63.511038
B2R1J6,44.788615,-63.601345
B2R1J7,44.789085,-63.602308
B2R1J8,44.758644,-63.572510
B2R1J9,44.759119,-63.574457
B2R1K1,44.781713,-63.600483
B2R1K2,44.781799,-63.600235
B2R1K3,44.778801,-63.606157
B2R1K4,44.779389,-63.604157
B2R1K5,44.718832,-63.515141
B2R1K6,44.718411,-63.513954
B2R1K7,44.783131,-63.603867
B2R1K8,44.783378,-63.603925
B2R1K9,44.718699,-63.506831
B2R1L1,44.718463,-63.507645
B2R1L2,44.737991,-63.553265
B2R1L3,44.778306,-63.581320
B2R1L4,44.777790,-63.584560
B2R1L5,44.777434,-63.580395
B2R1L6,44.776806,-63.584620
B2R1L7,44.777620,-63.585660
B2R1L8,44.776553,-63.584319
B2R1L9,44.784191,-63.606888
B2R1M1,44.783777,-63.605469
B2R1M2,44.782913,-63.601081
B2R1M3,44.783825,-63.610857
B2R1M4,44.783547,-63.604201
B2R1M5,44.783183,-63.602561
B2R1M6,44.786291,-63.601597
B2R1M7,44.786410,-63.601864
B2R1M8,44.784953,-63.599046
B2R1M9,44.777206,-63.603305
B2R1N1,44.777773,-63.604057
B2R1N2,44.784711,-63.603854
B2R1N3,44.787420,-63.605598
B2R1N4,44.784615,-63.603880
B2R1N5,44.785518,-63.603929
B2R1N6,44.777327,-63.604388
B2R1N7,44.777059,-63.603309
B2R1N8,44.777540,-63.604117
B2R1N9,44.785384,-63.604553
B2R1P1,44.785278,-63.604328
B2R1P2,44.781816,-63.616112
B2R1P3,44.781665,-63.616455
B2R1P4,44.782627,-63.616228
B2R1P5,44.784016,-63.600019
B2R1P6,44.784173,-63.601065
B2R1P7,44.783951,-63.599731
B2R1P8,44.784220,-63.601519
B2R1P9,44.779002,-63.616992
B2R1R1,44.779825,-63.615699
B2R1R2,44.779851,-63.615598
B2R1R3,44.773524,-63.606037
B2R1R4,44.777809,-63.605013
B2R1R5,44.780914,-63.601926
B2R1R6,44.782646,-63.599449
B2R1R7,44.782392,-63.600086
B2R1R8,44.782967,-63.600120
B2R1R9,44.785446,-63.598200
